Ahmedabad,Ahm-Himalaya-A003,"CROMA, Basement of Himalaya Mall, Indraprasth Tower, Drive in Rod, Memnagar, Ahmadabad, 380052, Gujarat,"
Ahmedabad,Ahm-Devarc-A004,"CROMA, Dev Arc Mall, Junction of Sg Road and Satellite Road,  Next to Fun Republic, Ahmadabad, 380053, Gujarat. "
Ahmedabad,Ahm-Ratna-A107,"CROMA,Ratna Business Square, Final Plot No.485, TP Scheme No.3, Near LD College ,Ashram Road, Ahmedabad- 380 009"
Ahmedabad,Ahm-Domestic Terminal-A121,"CROMA,Terminal -1, SHA, First Floor, S.V.P.I. Airport, Ahmedabad-380 003"
Ahmedabad,Ahm-Motera-A143,"Croma- Infiniti Retail Ltd,The Emporio Mall,Opp 4D Square,Near Engineering College , Motera- Gandhinagar Highway,Motera, Ahmedabad- 380005"
Ahmedabad,Ahm-Maninagar-A145,"Croma – The Arena , Opp Kakaria lake Gate NO : 3, Maninagar, Abad : 380022"
Ahmedabad,Ahm-Satyam64-A159,"Croma, Satyam Complex, Opp Gujarat High Court, SG Highway, Ahmedabad - 380061"
Bangalore,Blore-SSManor-A018,"CROMA,S S Manor ,chelikere ring road,Chikka Tayapa Reddy Layout, Kalyana Nagar Post, Bangalore-560043."
Bangalore,Blore-Indiranagar-A045,"CROMA ,767 - 767/1, Hal 2nd Floor , 100 Ft Road ,Indiranagar , Banagalore - 560038"
Bangalore,Blore-Woodys-A056,"CROMA ,Ground floor & First Floor ,Woodys ,45/1-1, 17th Main , 5th Cross , 2nd Phase , Marehalli Road ,  J.P Nagar , Bangalore - 560078"
Bangalore,Blore-BelRd-A057,"CROMA Plot No.20  Samarth , New BEL Road ,Jaladarshini Layout , Bangalore - 560054"
Bangalore,Blore-Koramangala2-A058,"CROMA Ground Floor , Indraprastha Equinox , Plot no.23 , 100 Feet Inner Ring Road Koramangala Bangalore - 560095"
Bangalore,Blore-Marathahalli-A060,"CROMA ,P.R. Business Centre, Survey No.36/2 (p) and 37/1 (p), Kadubeesanahalli, Marathahalli, Sarjapur, Outer Ring Road, Bangalore-560034"
Bangalore,Blore-SadashivNagar-A063,"CROMA,Sycon Polaris, Ground & First Floor,1/58, 8th Main, RMV Extension,Sadashiv nagar, Bangalore-560080"
Bangalore,Blore-Bannerghatta-A066,"CROMA,Unit/Anchor No.1,Royal Meenakshi Mall,Opposite Meenakshi Temple, Bannergatta Road, Bangalore - 560076"
Bangalore,Blore-Banshankari-A073,"CROMA,S.R.P. Arcade, 30/31, 6th Phase, Banshankari, 3rd Stage, 100 ft Ring Road, Bangalore-560085"
Bangalore,Blore-Market City-A088,"CROMA ,Unit No. F69,  First Floor, Phoenix Market City, Mahadevpura, Nr. Krishnarajapuram Flyover, Bengaluru 560048. "
Bangalore,Blore-Rajaji Ngr-A093,"CROMA,Rajaji nagar -Plot No-385/11, 19th G Main, 1st N Block, Rajaji Nagar, Bangalore – 560 010. "
Bangalore,Blore-Jaynagar-A113,"CROMA,Ground and First Floor, Shravanee’s Krishna Mansion Plot No.31, 100 Feet Road, 2nd Block, Jayanagar, Bangalore-560 011"
Bangalore,Blore-Total Mall-A114,"CROMA,Ground Floor, Total Mall, at Kaikondarhalli Village, Varthurhobli, Sarjapur Road, Bangalore:560035"
bangalore,Blore-Mantri Mall-A128,"Croma Unit No.1 UG 33 to UG 38, Upper Ground Floor, Mantri Square Mall, Malleshwaram, Bengaluru, Bangalore 560 003"
Bangalore,Blore-VR Mall-A136,"CROMA ,GF -08, VR-Bengaluru, Plot No. 11 B, Sy No.40/9,Devasandra Industrial Area, 2nd Stage, K.R.Puram, Hobli,Bengaluru – 560048"
Bangalore,Blore-Whitefield-A150,"Croma, Infiniti Retail Ltd. | A TATA Enterprise-#66/1, Ground Floor, Miraya Rose, Whitefield Siddhapura, Varthur Hobli, Bangalore - 560066"
Bangalore,Blore-Yehlenka-A160,"Croma,Survey No.32 situated at Allalasandra Village, B. B. Road"
,,"Yehlanka Hobli, Bengaluru North, Yelahanka"
,,"Bangalore,560064"
Baroda,Baroda-CentreSquare-A015,"CROMA, Centre Square Mall, Survey#54/A/2, Village Wadi, Taluka Vadodara, Near Sarabhai Circle, Opp. Vadodara Central, Vadodara – 390023."
Baroda,Baroda Eva Mall A139,"CROMA - Eva Mall ! 1st & 2nd floor,Patidar Crossing,Manjalpur,Vadodara-390011, Gujarat"
Chennai,Chen-MountRd-A034,"CROMA ,Tarapore Towers ,826 Ground Floor, Mount Road ,Anna Salai ,Mount Road , Chennai - 600002"
Chennai,Chen-AnnaNagar-A037,"CROMA , Khanna Building , AA-5, 2nd Avenue, Annanagar, Chennai-6000040"
Chennai,Chen-Tnagar-A040,"CROMA ,Ground Floor ,Kences Towers No.1 ,Ramakrishnan Street ,North Usman Road, T Nagar , Chennai - 600017"
Chennai,Chen-GrandMall-A095,"CROMA, Grand Mall, Vellachery - No-137, Velachery Tambaram Main Road, Velachery, Chennai – 600 042"
Chennai,Chen-Phoenix-A097,"CROMA,Phoenix Market City – Chennai 142, Velachery Main Road,Velachery, Chennai – 600 042"
Chennai,Che-Mogappair-A146,"Croma - Plot No. B24, Industrial Plot, Dr. Purtachi Thalaivi Jayalalitha Nagar,West Mogappair, Chennai 600037"
Chennai,Chennai-Avadi.SMA157,"Croma,Plot No. 6/PC2-4 & 5, TNHB 60 ft Road"
,,Avadi
,,"Chennai,600054"
Hyderabad,Hyd-Jubilee-A028,"CROMA , Ground Flr & First , Plot no.755 , Road no.36 ,Jubille Hills ,Hyderabad -500033"
Hyderabad,Hyd-Panjagutta-A029,"CROMA,'Prestige Towers"" Ground Flr6-3-664,Panjagutta Main Road, Somajiguda, Hyderabad - 500018        "
Hyderabad,Hyd-Kondapur-A091,"CROMA , Ground. Floor of building Nagarjuna Ikon, at Plot # 4 part of 5 & 6, Sy. No. 19,Kothaguda,  Serlingampally Mandal, Ranga Reddy District, Kondapoor, Hyderabad- 500084."
Hyderabad,Hyd-International Airport-A109,"CROMA ,Unit no. SU 16a, Level F, Domestic departure, Rajiv Gandhi International Airport, Shamshabad, Hyderabad – 500409"
Hyderabad,Hyd-LB Nagar-A126,"Croma Ground Floor, D.V.Cascade, Plot # 59A,59/B,59/C,59/D, In Survey # 9/9, Saroornagar Village, L.B.Nagar, Hyderabad 50007"
Hyderabad,Hyd-AS RaoNagar-A134,"CROMA ,A S RAO Nagar(Tirupathi Reddy Plaza, Plot no 2, G Block Colony, AS Rao Nagar, Kapra,Ranga Reddy District. Hyderabad – 500062)"
Hyderabad,Hyd-Kompally-A148,"Croma Kompally ,Ratna Arcade, Ground Floor Survey No.128,National highway 44, Beside Sree Vensai Towers,Kompally, Hyderabad 500014"
Hyderabad,Hyd-Attapur-A152,"Sirimalle, Plot No’s: 8,9,10, Survey No.523/B,  Piller No: 160, PVN Rao Express way, Attapur, Rajendra Nagar mandal, Hyderabad-500048. "
